"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J3";"PinHeader_1x19_P2.54mm_Vertical";1;"Conn_01x20_Socket";;;
2;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
3;"R3,R5,R6";"R_0603_1608Metric";3;"10k";;;
4;"X1";"Crystal_ECS-40Mhz_ECS";1;"Crystal 40 Mhz 10ppm";;;
5;"R2,R1";"R_0603_1608Metric";2;"5.1k";;;
6;"C7,C6,C5,C8";"C_0603_1608Metric";4;"0.1uF";;;
7;"L1,L2";"L_0603_1608Metric";2;"L";;;
8;"Q2,Q1";"SOT-23";2;"MMBT3904";;;
9;"C3,C9";"C_0603_1608Metric";2;"1uF";;;
10;"C1,C2";"C_0805_2012Metric";2;"10uF";;;
11;"C15,C14";"C_0805_2012Metric";2;"12pF";;;
12;"C10,C11";"C_0603_1608Metric";2;"22pF";;;
13;"R4";"R_0603_1608Metric";1;"0Ω";;;
14;"C12";"C_0603_1608Metric";1;"2pF";;;
15;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768K";;;
16;"IC1";"ESP32-S3FN8-QFN40P700X700X90-57N-D";1;"ESP32-S3FN8";;;
17;"U1";"TSOT-23-5";1;"RT9080-33GJ5";;;
18;"C13";"C_0603_1608Metric";1;"2.4pF";;;
19;"ANT1";"ANTC3216X130N";1;"RFANT3216120A1T";;;
20;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Socket";;;
21;"C4";"C_0603_1608Metric";1;"10uF";;;
22;"U2";"SOT-666";1;"USBLC6-2P6";;;
